ID de projet,Nom de simulation,Total travaux TTC (OLD),Total travaux TTC (NEW),Total subventions (OLD),Total subventions (NEW),Reste à charge (OLD),Reste à charge (NEW),% \subvention sur le TTC (OLD),% \subvention sur le TTC (NEW),Total avances (OLD),Total avances (NEW)
12072,Simulation 1,12000.0,0,0.0,0,12000.0,0,0,0,None
370,Simulation 1,0.0,0,39409.89,61894.89,0.0,0,0,0,None
4719,Simulation 1,87572.99,87572.99,35462.4,36962.4,52110.59,50610.59,40,42.0,None
4759,Simulation 1,0.0,0,0.0,0.0,0.0,0,0,0,None
4759,Simulation 2,0.0,0,4358.555,4358.5599999999995,0.0,0,0,0,None
801,Simulation 1,,5867.15,,0,,5867.15,,0.0,,0
2138,Simulation 1,0.0,0,0.0,254996.0,0.0,0,0,0,None
118,Simulation 1,,32573.239999999998,,21500.0,,11073.239999999998,,66.0,,0
29,Simulation 1,,8783.17,,6995.173999999999,,1787.996000000001,,80.0,,3496.621799999999
1194,Simulation 1,559552.77,962307.4099999996,150562.5,150562.5,408990.27,811744.9099999999,27,190.0,None
5016,Simulation 1,25902.95,25902.95,8860.33,8860.33,17042.62,17042.62,34,34.0,None
384,Simulation 1,0.0,0,37292.0,37292.0,0.0,0,0,0,None
4718,Simulation 1,67540.2,67540.2,26388.1585,14783.63,41152.0415,52756.57,39,22.0,None
4718,Simulation 2,52581.74,52581.74,18668.734,18668.73,33913.006,33913.01,36,36.0,None
4718,Simulation 3,74382.06,74382.06,30596.9495,32096.95,43785.1105,42285.11,41,43.0,None
4718,Simulation 4,65789.56,65789.56,29196.1875,30696.190000000002,36593.3725,35093.37,44,47.0,None
4718,Simulation 5,74691.39,74691.39,31366.2,17107.2,43325.19,57584.19,42,23.0,None
7792,Simulation 1,25213.1,0,4584.2,4584.2,20628.9,0,18,0,None
5473,Simulation 1,47660.8,47660.8,24799.0,28718.5,22861.8,18942.3,52,121.0,None
5473,Simulation 1,47660.8,47660.8,24799.0,28718.5,22861.8,18942.3,52,121.0,None
3359,Etude,0.0,0,64849.5,67849.5,0.0,0,0,0,None
3354,Simulation 1,0.0,0,225949.6,225949.6,0.0,0,0,0,None
5460,Simulation 1,440000.0,484000.0,84437.5,74812.5,355562.5,409187.5,19,56.0,None
5442,Simulation 1,117237.74,117237.74,35359.0,35359.0,81878.74,81878.74,30,30.0,None
6397,Simulation 1,0.0,0,6000.0,6000.0,0.0,0,0,0,None
3353,Simulation 1,0.0,0,0.0,1728.0,0.0,0,0,0,None
